k,current_theta1,current_thetadot1,current_theta2,current_thetadot2,force1,force2,reward
100,-0.12064601869740528,-0.5439991132833409,-0.37813910788429816,1.4271716174028488,-1.5,0.0,-0.2741823397777338
101,-0.16599959928289845,-0.9070716117098633,-0.2749485705767788,2.063810746150388,-1.5,0.0,-0.35725726865908425
102,-0.22928443374672336,-1.2656966892764983,-0.1399994985580229,2.6989814403751176,-1.5,0.0,-0.5164956573917951
103,-0.3100225042486708,-1.614761410038948,0.025828097621681118,3.3165519235940804,1.5,-1.0,-0.7771295974297004
104,-0.34306829890725044,-0.6609158931715935,0.0675915603518739,0.8352692546038556,1.5,-1.0,-0.17898870402257983
105,-0.3308045422903009,0.24527513233899123,-0.008483508838306564,-1.521501383803609,1.5,-1.0,-0.22825993269511544
106,-0.27529190700447936,1.1102527057164302,-0.19702974875989918,-3.770924798431852,1.5,0.0,-0.8872331012574999
107,-0.20448997608815367,1.4160386183265135,-0.41063099512037815,-4.2720249272095785,-1.5,1.0,-1.223202081838689
108,-0.18160119307550154,0.4577756602530427,-0.5009431363850249,-1.8062428252929337,1.5,1.0,-0.4575266041698266
109,-0.1637744817124835,0.3565342272603609,-0.5476521286936621,-0.9341798461727453,-1.5,1.0,-0.37673536693306586
110,-0.18639426168103843,-0.45239559937109886,-0.4903507139665756,1.1460282945417293,-1.5,0.0,-0.35108877498617785
111,-0.22691462055446687,-0.810407177468569,-0.40223186918494575,1.7623768956325967,-1.5,0.0,-0.4014173273870011
112,-0.2852330099345098,-1.166367787600858,-0.2829659041902846,2.3853192998932222,-1.5,0.0,-0.5139356718103261
113,-0.36119153990334424,-1.5191705993766893,-0.13238540977029237,3.011609888399845,-1.5,0.0,-0.71686889671371
114,-0.4542590100391294,-1.8613494027157031,0.04841805893011497,3.6160693740081467,1.5,-1.0,-1.0357245224637786
115,-0.4991258511386128,-0.8973368219896685,0.10383612419905996,1.1083613053788999,1.5,-1.0,-0.3615924637315141
116,-0.4983766410308963,0.014984202154329829,0.04067181101057245,-1.2632862637697504,1.5,-1.0,-0.3298393080632954
117,-0.4539720377199362,0.888092066219202,-0.13586085223850547,-3.530653264981558,1.5,0.0,-0.8872597819828856
118,-0.3933857137993165,1.2117264784123942,-0.33967473220570943,-4.076277599344079,1.5,1.0,-1.17434724979042
119,-0.34237729573438536,1.0201683612986234,-0.48911006457392436,-2.9887066473642987,1.5,1.0,-0.8551064133716124
120,-0.2985644038134089,0.8762578384195293,-0.5895606475982859,-2.0090116604872295,1.5,1.0,-0.6769202429892325
121,-0.25975825799021524,0.7761229164638725,-0.6458698963129338,-1.1261849742929577,-1.5,1.0,-0.578155244446572
122,-0.2604166575910613,-0.013167992016920982,-0.6009638229891396,0.898121466475883,-1.5,1.0,-0.4693141303205494
123,-0.29975701176025854,-0.7868070833839445,-0.4574158024913,2.870960409956793,-1.5,0.0,-0.7421574355683211
124,-0.3574918862574304,-1.154697489943437,-0.2827209951270079,3.493896147285841,-1.5,0.0,-0.8847634388905272
125,-0.43327195932720647,-1.5156014613955218,-0.07672949881228655,4.119829926294426,1.5,-1.0,-1.1571143272959903
126,-0.4618515876610305,-0.5715925666764806,0.00619809496291715,1.6585518755040738,1.5,-1.0,-0.3672209247070783
127,-0.4447434470492343,0.3421628122359246,-0.029991582128199183,-0.7237935418223267,1.5,-1.0,-0.23074385275483283
128,-0.3841075948641254,1.212717043702178,-0.1796792286974317,-2.99375293138465,0.0,0.0,-0.7014852317706037
129,-0.32684073743425535,1.1453371485974002,-0.32061274483676594,-2.8186703227866845,1.5,1.0,-0.6724523784241138
130,-0.27703505107569026,0.996113727171302,-0.41194827439423515,-1.8267105911493844,1.5,1.0,-0.4629055073647202
131,-0.23308750294674976,0.8789509625788098,-0.45744622943419294,-0.909959100799156,-1.5,1.0,-0.3436158548407826
