k,l,t,current_theta1,current_thetadot1,current_theta2,current_thetadot2,force1,force2,next_theta1,next_thetadot1,next_theta2,next_thetadot2,reward
622,7,22,-0.8891348903627405,3.7927592686752822,-0.844305410123651,3.409426175081001,0.0,0.0,-0.7343785472967067,3.0951268613206766,-0.5985139590611419,4.915829021250181,-2.803872964496916
623,7,23,-0.7343785472967067,3.0951268613206766,-0.5985139590611419,4.915829021250181,0.0,0.0,-0.6115198058987392,2.45717482795935,-0.2900997848564731,6.168283484093376,-2.5847900726123783
624,7,24,-0.6115198058987392,2.45717482795935,-0.2900997848564731,6.168283484093376,0.0,1.0,-0.5304758931686915,1.6208782546009557,0.024059480502506225,6.283185307179586,-2.662385821945013
625,7,25,-0.5304758931686915,1.6208782546009557,0.024059480502506225,6.283185307179586,0.0,-1.0,-0.42229730256723685,2.163571812029093,0.2502788853476151,4.524388096902177,-2.3872667278649553
626,7,26,-0.42229730256723685,2.163571812029093,0.2502788853476151,4.524388096902177,1.5,1.0,-0.3084657501858433,2.276631047627871,0.4940155075105732,4.8747324432591626,-1.498531064066257
627,7,27,-0.3084657501858433,2.276631047627871,0.4940155075105732,4.8747324432591626,-1.5,-1.0,-0.17095547284503293,2.7502055468162077,0.654457372584289,3.208837301474316,-1.7865057067179755
628,7,28,-0.17095547284503293,2.7502055468162077,0.654457372584289,3.208837301474316,0.0,1.0,-0.03590773587597729,2.7009547393811126,0.8404007730317042,3.7188680089483026,-1.3505535950791803
629,7,29,-0.03590773587597729,2.7009547393811126,0.8404007730317042,3.7188680089483026,0.0,0.0,0.12262183927212156,3.1705915029619764,0.9754215173776402,2.7004148869187192,-1.7638196134162454
630,7,30,0.12262183927212156,3.1705915029619764,0.9754215173776402,2.7004148869187192,-1.5,1.0,0.26934694991312824,2.9345022128201332,1.1416733142957909,3.3250359383630137,-1.833727804037122
631,7,31,0.26934694991312824,2.9345022128201332,1.1416733142957909,3.3250359383630137,-1.5,0.0,0.42474369685494506,3.1079349388363355,1.2772528054147436,2.711589822379053,-2.359324097425234
632,7,32,0.42474369685494506,3.1079349388363355,1.2772528054147436,2.711589822379053,0.0,-1.0,0.6144594509913491,3.7943150827280814,1.315173600237095,0.7584158964470307,-2.6623808844013026
633,7,33,0.6144594509913491,3.7943150827280814,1.315173600237095,0.7584158964470307,-1.5,1.0,0.7883225645789276,3.477262271751568,1.3754799449125543,1.2061268935091853,-2.8558430966232606
634,7,34,0.7883225645789276,3.477262271751568,1.3754799449125543,1.2061268935091853,-1.5,1.0,0.947586569307621,3.1852800945738684,1.4600280087505624,1.6909612767601605,-3.1907022941705905
635,7,35,0.947586569307621,3.1852800945738684,1.4600280087505624,1.6909612767601605,-1.5,0.0,1.105366105498336,3.155590723814299,1.5235610935721673,1.2706616964321005,-3.6798700586878623
636,7,36,1.105366105498336,3.155590723814299,1.5235610935721673,1.2706616964321005,0.0,0.0,1.2739308437094432,3.3712947642221462,1.5538077949321394,0.6049340271994432,-4.121689331181504
637,7,37,1.2739308437094432,3.3712947642221462,1.5538077949321394,0.6049340271994432,0.0,0.0,1.4503324895688883,3.5280329171889027,1.5514575189851338,-0.04700551894010907,-4.6237971363729
638,7,38,1.4503324895688883,3.5280329171889027,1.5514575189851338,-0.04700551894010907,0.0,-1.0,1.642327901497365,3.8399082385695347,1.47340549189097,-1.561040541883278,-5.132946052693559
639,7,39,1.642327901497365,3.8399082385695347,1.47340549189097,-1.561040541883278,0.0,-1.0,1.8461382193014122,4.076206356080941,1.3189588553499803,-3.0889327308197956,-5.7272518222730815
640,7,40,1.8461382193014122,4.076206356080941,1.3189588553499803,-3.0889327308197956,1.5,1.0,2.0516707136596226,4.110649887164204,1.1634882665577106,-3.109411775845392,-6.4557269705157445
